,size,isdir,mode,mtime,ctime,atime,exe,file_full,filename,method
line59,58409474,FALSE,666,2/20/2019 10:45,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_059.raw,20190219_059,20190204_PAL_filtrate_DDA.meth
line60,77498017,FALSE,666,2/20/2019 11:05,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_060.raw,20190219_060,20190204_PAL_filtrate_DIA.meth
line61,58382630,FALSE,666,2/20/2019 11:25,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_061.raw,20190219_061,20190204_PAL_filtrate_DDA.meth
line62,77482439,FALSE,666,2/20/2019 11:45,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_062.raw,20190219_062,20190204_PAL_filtrate_DIA.meth
line63,58233861,FALSE,666,2/20/2019 12:05,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_063.raw,20190219_063,20190204_PAL_filtrate_DDA.meth
line64,76907049,FALSE,666,2/20/2019 12:26,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_064.raw,20190219_064,20190204_PAL_filtrate_DIA.meth
line65,58653650,FALSE,666,2/20/2019 12:46,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_065.raw,20190219_065,20190204_PAL_filtrate_DDA.meth
line66,73491587,FALSE,666,2/20/2019 13:06,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_066.raw,20190219_066,20190204_PAL_filtrate_DIA.meth
line67,58711809,FALSE,666,2/20/2019 13:26,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_067.raw,20190219_067,20190204_PAL_filtrate_DDA.meth
line68,75253685,FALSE,666,2/20/2019 13:46,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_068.raw,20190219_068,20190204_PAL_filtrate_DIA.meth
line69,58946719,FALSE,666,2/20/2019 14:06,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_069.raw,20190219_069,20190204_PAL_filtrate_DDA.meth
line70,60430019,FALSE,666,2/20/2019 14:26,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_070.raw,20190219_070,20190204_PAL_blank_DDA.meth
line71,58354917,FALSE,666,2/20/2019 14:46,3/18/2019 11:23,3/18/2019 11:23,no,02_01/20190219_071.raw,20190219_071,20190204_PAL_filtrate_DDA.meth
line72,78645009,FALSE,666,2/20/2019 15:06,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_072.raw,20190219_072,20190204_PAL_filtrate_DIA.meth
line73,59234466,FALSE,666,2/20/2019 15:27,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_073.raw,20190219_073,20190204_PAL_filtrate_DDA.meth
line74,78085498,FALSE,666,2/20/2019 15:47,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_074.raw,20190219_074,20190204_PAL_filtrate_DIA.meth
line75,59167401,FALSE,666,2/20/2019 16:07,3/18/2019 11:24,3/18/2019 11:24,no,02_01/20190219_075.raw,20190219_075,20190204_PAL_filtrate_DDA.meth
